body,header,date,from,to,attachment,sexe,age,label
" 
  
  
  
 ----- Transféré par Conseiller le 24/05/2018 11:49 ----- 
  
 De :	Dupont <monsieurdupont@extensiona.com> 
 A :	conseiller@Societeimaginaire.fr 
 Cc :	Societe@www.Societe.fr 
 Date :	24/05/2018 11:36 
 Objet :	Devis habitation 
  
  
  
 Bonjour 
 Je suis client chez vous 
 Pouvez vous m établir un devis pour mon fils qui souhaite 
 louer l’appartement suivant : 
 25 rue du rueimaginaire 77000 
 Merci 
 Envoyé de mon iPhone",Tr : Devis habitation,jeudi 24 mai 2018 11 h 49 CEST,conseiller1@societeimaginaire.fr,demandes@societeimaginaire.fr,[],F,35,habitation
" 
  
  
  
 ----- Transféré par Conseiller le 25/05/2018 08:20 ----- 
  
 De :	Dupont <monsieurdupont@extensiona.com> 
 A :	conseiller@Societeimaginaire.fr 
 Date :	24/05/2018 19:37 
 Objet :	Immatriculation voiture 
  
  
  
 Bonsoir madame, 
  
 Je vous informe que la nouvelle immatriculation est enfin 
 faite. Je vous remercie bien pour votre patience. 
 Je vous prie de trouver donc la carte grise ainsi que la 
 nouvelle immatriculation. Je vous demanderai de faire les changements 
 nécessaires concernant l’assurance. 
 Je vous remercie encore pour tout. 
 Cordialement, 
 Monsieur Dupont (See attached file: pj.pdf)",Tr : Immatriculation voiture,vendredi 25 mai 2018 06 h 21 CEST,conseiller1@societeimaginaire.fr,demandes@societeimaginaire.fr,"[""pj.pdf""]",M,32,vehicule
" 
  
  
 Bonjours, 
  
 Suite a notre conversation téléphonique de Mardi , pourriez vous me dire la 
 somme que je vous dois afin d'être en régularisation . 
  
 Merci bonne journée 
  
 Le mar. 22 mai 2018 à 10:20,  <conseiller@Societeimaginaire.fr> a écrit : 
 Bonjour. 
  
 Merci de bien vouloir prendre connaissance du document ci-joint : 
 1 - Relevé d'identité postal (contrats) 
  
 Cordialement. 
  
 La Mututelle Imaginaire 
  
 La visualisation des fichiers PDF nécessite Adobe Reader. 
  ",Re: Envoi d'un document de la Société Imaginaire,vendredi 25 mai 2018 06 h 45 CEST,Monsieur Dupont <monsieurdupont@extensiona.com>,demandes@societeimaginaire.fr,[],M,66,compte
" 
  
  
  
  
 Bonjour, 
  
  
 Je fais suite à  votre mail. J'ai envoyé mon bulletin de salaire 
 par courrier mais il semblerait que vous ne l'ayez pas réceptionné. 
 Vous trouverez ci-joint mon bulletin de salaire. 
  
  
 Bien cordialement, 
  
  
 Monsieur Dupont. 
  
 Le 16/05/2018 à 11:27, conseiller@Societeimaginaire.fr a écrit : 
  
 Cher(e) client, 
  
 Sauf erreur de notre part, nous n'avons pas reçu votre justificatif 
 d’emploi. 
 Nous vous rappelons qu'il nous est indispensable pour valider votre 
 adhésion auprès de notre Societe. 
  
 Il peut s’agir de votre dernier bulletin de paye ou d’une attestation de 
 votre employeur par exemple. 
  
 Votre conseiller Societe Imaginaire 
 |------------------------+---------------------------------------| 
 |                        |Garanti sans virus.  www.avast.com     | 
 |------------------------+---------------------------------------| 
  
  
  ",Re: Votre adhésion à la Société Imaginaire,vendredi 25 mai 2018 10 h 15 CEST,Monsieur Dupont <monsieurdupont@extensiond.com>,demandes@societeimaginaire.fr,"[""fichedepaie.png""]",M,50,adhesion
" 
  
  
 Bonjour, 
 Voici ci joint mon bulletin de salaire comme demandé. 
 Cordialement 
 Monsieur Dupont 
  
 Le ven. 25 mai 2018 à 11:23,  <conseiller@Societeimaginaire.fr> a écrit : 
  
 Cher(e) client, 
  
 Sauf erreur de notre part, nous n'avons pas reçu votre justificatif d’emploi. 
 Nous vous rappelons qu'il nous est indispensable pour valider votre 
 adhésion auprès de notre Societe Imaginaire. 
  
 Il peut s’agir de votre dernier bulletin de paye ou d’une attestation de 
 votre employeur. 
  
 Votre conseiller Societe Imaginaire  (See attached file: pj.jpg)",Bulletin de salaire,vendredi 25 mai 2018 17 h 30 CEST,Monsieur Dupont <monsieurdupont@extensiona.com>,demandes@societeimaginaire.fr,"[""pj.pdf""]",M,15,adhesion
" Madame, Monsieur, 
 
 Je vous avais contactés car j'avais pour 
 projet d'agrandir ma maison. J'avais reçu un devis pour lequel je n'avais 
 pas donné suite, les travaux n'étant pas encore réalisés. 
  
 Le projet a maintenant été porté à son terme et je voudrais donc revoir 
 votre offre si possible. 
  
 Je désire garder le même type de contrat. 
 Je suis à votre disposition pour tout renseignement complémentaires. 
  
 Sincères salutations 
 Monsieur Dupont 
  ",Modification et extension de ma maison,jeudi 31 mai 2018 10 h 28 CEST,Monsieur Dupont <monsieurdupont@extensiona.com>,demandes@societeimaginaire.fr,[],F,22,habitation
" 
  
  
  
  
  
  
 ----- Transféré par Conseiller le 31/05/2018 12:24 ----- 
  
 De :	Dupont <monsieurdupont@extensiona.com> 
 A :	conseiller@Societeimaginaire.fr 
 Date :	30/05/2018 15:56 
 Objet :	Assurance d'un nouveau logement 
  
  
  
 Bonjour, 
  
 J'emménage dans un nouveau studio le Vendredi 2 Juin 2019 
 mais je n'arrive pas à souscrire d'assurance via la plateforme en ligne. 
  
 C'est pourquoi je vous envoie l'état des lieux de sortie du deuxième studio 
 afin de pouvoir l'enlever du contrat et ainsi pouvoir assurer le nouveau 
 logement.   
  
  
 Cordialement,   
  
  
 Monsieur Dupont. 
  
  
 Tél : 07.00.00.00.00 
  
  
 Mail : monsieurdupont@extensiona.com (See attached file: pj.pdf) 
  ",Tr : Assurance d'un nouveau logement,jeudi 31 mai 2018 12 h 24 CEST,Conseiller <conseiller1@societeimaginaire.fr>,demandes@societeimaginaire.fr,"[""pj.pdf""]",F,28,resiliation
" 
  
  
  
  
 Bonjour, 
  
  
  
 Je me permets de venir vers vous car depuis le début de l’année, nous avons 
 des difficultés pour assurer nos véhicules. 
  
 Ces derniers jours, vous nous avez fait parvenir le détail des 
 dénominations et des niveau d’assurance de chaque véhicule. 
  
 Merci d’effectuer ces changements 
  
  
  
 Dans l’attente de votre retour 
  
  
  
 Cordialement 
  
  
  
 Monsieur Dupont 
  
  (See attached file: image001.png)(See attached file: Assurances véhicules2018.pdf)",Assurance véhicules,jeudi 31 mai 2018 14 h 02 CEST,Monsieur Dupont <monsieurdupont@extensiona.com>,demandes@societeimaginaire.fr,"[""image001.png""]",M,39,vehicule
" 
  
  
 Bonjour, 
  
 Voici la copie du virement effectuer à ce jour. 
 Serait-il possible d’obtenir une attestation d’assurance? 
  
 Cordialement, 
  
 Monsieur Dupont 
 06 00 00 00 00 
 (See attached file: pj.pdf) 
  
 > Le 23 mai 2018 à 10:17, conseiller@Societeimaginaire.fr a écrit : 
 > 
 > Bonjour, 
 > 
 > Nous faisons suite à votre dernier courriel. 
 > 
 > A ce jour, le montant à devoir, permettant de solder votre compte 
 cotisation, est de 000.00euros. 
 > 
 > Nous restons à votre disposition pour tous renseignements 
 complémentaires. 
 > 
 > Meilleures salutations, 
 > 
 > Conseiller. 
 > <pj.pdf> ",Re: Virement,jeudi 31 mai 2018 17 h 10 CEST,Monsieur Dupont <monsieurdupont@extensione.com>,demandes@societeimaginaire.fr,"[""pj.pdf""]",M,38,autres
" 
  
  
  
  
  
  
  
 BONJOUR 
  
  
  
 CI-JOINT PRET VEHICULE 
  
 CORDIALEMENT 
  
 GARAGE 
  
  
  
  
  
  
 > Message du 31/05/18 08:51 
 > De : monsieurdupont@extensionb.com 
 > A : ""GARAGE"" <garage@extensionb.com> 
 > Copie à : 
 > Objet : Attached Image 
 > 
 >(See attached file: pj.pdf)",Prêt véhicule,jeudi 31 mai 2018 08 h 54 CEST,Monsieur Dupont <monsieurdupont@extensionb.com>,demandes@societeimaginaire.fr,"[""pj.pdf""]",M,30,vehicule
